German,English
Die,The
Sei,Be
von,from
Und,And
A,A
Zu,To
In,In
Er,He
haben,have
Es,It
Das,The
für,for
Sie,She
ICH,I
mit,with
als,as
nicht,not
An,At
sie,she
bei,at
von,from
Das,The
Wir,We
Du,You
Tun,Do
Aber,But
aus,out of
oder,or
welche,which
eins,one
würde,would
alle,all
Wille,will
Dort,There
sagen,say
WHO,WHO
machen,make
Wann,When
dürfen,may
mehr,more
Wenn,If
NEIN,NO
Mann,Man
aus,out of
andere,other
Also,So
Was,What
Zeit,Time
hoch,high
gehen,go
um,around
als,as
hinein,into it
könnte,could
Zustand,Condition
nur,only
neu,new
Jahr,Year
manche,some
nehmen,take
kommen,come
diese,this
wissen,knowledge
sehen,see
verwenden,use
erhalten,receive
wie,How
Dann,Then
Erste,First
beliebig,any
arbeiten,work
Jetzt,Now
Mai,May
solch,such
geben,give
über,above
denken,think
am meisten,the most
sogar,even
finden,find
Tag,Day
Auch,Also
nach,after
Weg,Away
viele,many
muss,must
sehen,see
Vor,Before
Großartig,Great
zurück,back
durch,through
lang,long
Wo,Where
viel,much
sollen,should
Also,So
Menschen,People
runter,down
eigen,own
Nur,Only
Weil,Because
Gut,Good
jede,every
diese,this
fühlen,feel
erscheinen,appear
Wie,How
hoch,high
zu,to
Ort,Location
wenig,few
Welt,World
sehr,very
Trotzdem,Despite it
Nation,nation
Hand,hand
alt,old
Leben,Life
erzählen,tell
schreiben,write
werden,become
Hier,Here
zeigen,show
Haus,House
beide,both
zwischen,between
brauchen,need
bedeuten,mean
Anruf,Call
entwickeln,develop
unter,under
zuletzt,last
Rechts,Right
bewegen,move
Ding,thing
allgemein,generally
Schule,School
niemals,never
Dasselbe,The same thing
ein anderer,another
beginnen,begin
während,while
Nummer,number
Teil,Part
drehen,turn
real,real
verlassen,leave
könnte,could
wollen,want
Punkt,Point
bilden,form
aus,out of
Kind,child
wenige,few
klein,small
seit,since
gegen,against
fragen,questions
spät,late
heim,home
Interesse,interest
groß,large
Person,person
Ende,End
offen,open
öffentlich,public
folgen,consequences
während,while
gegenwärtig,currently
ohne,without
wieder,again
halten,hold
regieren,govern
um,around
möglich,possible
Kopf,Head
halten,hold
Wort,Word
Programm,program
Problem,problem
Jedoch,However
führen,lead
System,system
Satz,Sentence
Befehl,command
Auge,Eye
planen,to plan
laufen,run
halten,hold
Gesicht,Face
Tatsache,fact
Gruppe,group
spielen,play
Stand,was standing
Zunahme,increase
früh,early
Kurs,course
ändern,change
helfen,help
Linie,line
Stadt,City
setzen,set
schließen,close
Fall,case
Gewalt,Violence
treffen,meet
einmal,once
Wasser,Water
auf,on
Krieg,War
bauen,build
hören,hear
Licht,Light
Vereinen,Unite
live,live
jeden,every
Land,country
bringen,bring
Center,center
lassen,let
Seite,Page
versuchen,attempt
bieten,offer
weitermachen,keep going
Name,Surname
bestimmt,certainly
Leistung,Performance
zahlen,pay
Ergebnis,Result
Frage,Ask
Studie,study
Frau,Woman
Mitglied,Member
bis,until
weit,far
Nacht,Night
stets,always
Service,service
weg,away
Bericht,report
etwas,something
Unternehmen,Pursue
Woche,Week
Kirche,Church
zu,to
Start,begin
Sozial,Social
Zimmer,Room
Figur,figure
Natur,Nature
obwohl,although
jung,young
weniger,fewer
genug,enough
fast,nearly
lesen,read
enthalten,contain
Präsident,president
Nichts,Nothing
noch,still
besser,better
groß,large
Junge,Boy
kosten,cost
Geschäft,Business
Wert,Value
zweite,second
Warum,Why
klar,clear
erwarten,expect
Familie,Family
vollständig,complete
Akt,act
Sinn,sense
Geist,Spirit
Erfahrung,Experience
Kunst,Art
nächste,next
nahe,vicinity
Direkte,Direct
Auto,automobile
Gesetz,Law
Industrie,Industry
wichtig,important
Mädchen,Girl
Gott,God
mehrere,several
Gegenstand,Object
üblich,usual
eher,rather
pro,Per
oft,often
Art,Art
unter,under
Weiß,White
Grund,Reason
Aktion,action
zurückkehren,to return
Fuß,Foot
Pflege,Care
einfach,simply
innerhalb,within
Liebe,Love
menschlich,human
entlang,along
erscheinen,appear
Arzt,Physician
glauben,believe
sprechen,speak
aktiv,active
Student,University student
Monat,Month
fahren,drive
Sorge,Worries
am besten,preferably
Tür,door
Hoffnung,Hope
Beispiel,Example
informieren,inform
Körper,Body
immer,always
am wenigsten,the least
wahrscheinlich,probably
verstehen,understand
erreichen,to reach
Wirkung,Effect
anders,different
Idee,idea
ganz,quite
Kontrolle,control
Zustand,Condition
Feld,Field
passieren,happen
fallen,fall
Notiz,note
besonders,particularly
sprechen,speak
besondere,special
Heute,Today
messen,measure
gehen,go
unterrichten,teach
niedrig,low
Stunde,Hour
Typ,Type
tragen,carry
Rate,rate
bleiben,remain
voll,full
Straße,Street
einfach,simply
Obwohl,Although
aufzeichnen,record
sitzen,sit
bestimmen,determine
Ebene,level
lokal,local
Sicher,secure
erhalten,receive
daher,therefore
Moment,moment
Geist,Spirit
Zug,Train
Hochschule,University
Religion,religion
vielleicht,perhaps
Musik,Music
wachsen,grow
frei,free
Ursache,Caused
Aufschlag,surcharge
Alter,Old
Buch,Book
Planke,plank
jüngste,youngest
Klang,sound
Büro,Office
schneiden,cut
Schritt,Step
Klasse,Class
WAHR,TRUE
Geschichte,Story
Position,position
über,above
stark,strong
Freund,Friend
notwendig,necessary
hinzufügen,add
Gericht,Court
handeln,act
Steuer,Tax
Unterstützung,Support
Party,party
ob,if
entweder,either
Land,country
Material,material
passieren,happen
